,"2007 ERP age 15-19, %",2.4,,
,"2007 ERP age 20-24, persons",251,,
,"2007 ERP age 20-24, %",7.5,,
,"2007 ERP age 25-44, persons","1,727",,
,"2007 ERP age 25-44, %",51.8,,
,"2007 ERP age 45-64, persons",720,,
,"2007 ERP age 45-64, %",21.6,,
,"2007 ERP age 65-69, persons",74,,
,"2007 ERP age 65-69, %",2.2,,
,"2007 ERP age 70-74, persons",60,,
,"2007 ERP age 70-74, %",1.8,,
,"2007 ERP age 75-79, persons",62,,
,"2007 ERP age 75-79, %",1.9,,
,"2007 ERP age 80-84, persons",32,,
,"2007 ERP age 80-84, %",1.0,,
,"2007 ERP age 85+, persons",42,,
,"2007 ERP age 85+, %",1.3,,
,"2007 ERP, total","3,334",,
2007-2012 population change,"% change, 2007-2012, age 0-4",3.7,,
,"% change, 2007-2012, age 5-9",-30.1,,
,"% change, 2007-2012, age 10-14",45.2,,
,"% change, 2007-2012, age 15-19",-9.7,,
,"% change, 2007-2012, age 20-24",-10.3,,
,"% change, 2007-2012, age 25-44",-14.7,,
,"% change, 2007-2012, age 45-64",8.1,,
,"% change, 2007-2012, age 65-69",52.0,,
,"% change, 2007-2012, age 70-74",-18.0,,
,"% change, 2007-2012, age 75-79",-33.8,,
,"% change, 2007-2012, age 80-84",22.4,,
,"% change, 2007-2012, age 85+",-30.5,,
,"% change, 2007-2012, total",-6.5,,
Services,Public Hospitals,0,,
,Private Hospitals,0,,
,Community Health Centres,0,,
,Bush Nursing Centres,0,,
,Allied Health,0,,
,Alternative Health,0,,
,Child Protection and Family,0,,
,Dental,0,,
,Disability,0,,
,General Practice,0,,
,Homelessness,0,,
,Mental Health,0,,
,Pharmacies,0,,
,Aged Care (High Care),0,,
,Aged Care (Low Care),0,,
,Aged Care (SRS),0,,
,Kinder and/or Childcare,0,,
,Primary Schools,0,,
,Secondary Schools,0,,
,P12 Schools,0,,
,Other Schools,0,,
,Centrelink Offices,0,,
,Medicare Offices,0,,
,Medicare Access Points,0,,
Socio-demographic,Number of Households,"1,442",,
,Average persons per household,2.0,,
,Occupied private dwellings,"1,535",,
,"Occupied private dwellings, %",85.8,,
,Population in non-private dwellings,24,,
,Public Housing Dwellings,10,,
,% dwellings which are public housing,0.6,,
,Dwellings with no motor vehicle,272,,
,"Dwellings with no motor vehicle, %",15.2,,
,Dwellings with no internet,182,,
,"Dwellings with no internet, %",10.2,,
,Equivalent household income <$600/week,198,,
,"Equivalent household income <$600/week, %",15.7,,
,"Personal income <$400/week, persons",392,,
,"Personal income <$400/week, %",17.0,,
,Number of families,611,,
,Female-headed lone parent families,38,,
,"Female-headed lone parent families, %",6.2,,
,Male-headed lone parent families,21,,
,"Male-headed lone parent families, %",3.4,,
,% residing near PT,100.0,,
,IRSD (min),1086,,
,IRSD (max),1154,,
,IRSD (avg),1098,,
,Primary school students,114,,
,Secondary school students,84,,
,TAFE students,46,,
,University students,195,,
,"Holds degree or higher, persons","1,177",,
,"Holds degree or higher, %",71.9,,
,"Did not complete year 12, persons",399,,
,"Did not complete year 12, %",17.2,,
,"Unemployed, persons",68,,
,"Unemployed, %",3.6,,
,"Volunteers, persons",476,,
,"Volunteers, %",20.6,,
,"Requires assistance with core activities, persons",52,,
,"Requires assistance with core activities, %",2.0,,
,"Aged 75+ and lives alone, persons",58,,
,"Aged 75+ and lives alone, %",2.0,,
,"Unpaid carer to person with disability, persons",245,,
,"Unpaid carer to person with disability, %",10.6,,
,"Unpaid carer of children, persons",424,,
,"Unpaid carer of children, %",18.4,,
,Top industry,"Professional, Scientific and Technical Services",,
,"Top industry, %",20.4,,
,2nd top industry - persons,Health Care and Social Assistance,,
,"2nd top industry, %",9.9,,
,3rd top industry - persons,Financial and Insurance Services,,
,"3rd top industry, %",8.8,,
,Top occupation,Professionals,,
,"Top occupation, %",44.5,,
,2nd top occupation - persons,Managers,,
,"2nd top occupation, %",19.2,,
,3rd top occupation - persons,Clerical and Administrative Workers,,
,"3rd top occupation, %",12.5,,
Diversity,"Aboriginal or Torres Strait Islander, persons",<5,,
,"Aboriginal or Torres Strait Islander, %",n/a,,
,"Born overseas, persons",785,,
,"Born overseas, %",30.0,,
,"Born in non-English speaking country, persons",367,,
,"Born in non-English speaking country, %",14.0,,
,"Speaks LOTE at home, persons",371,,
,"Speaks LOTE at home, %",14.2,,
,"Poor English proficiency, persons",19,,
,"Poor English proficiency, %",0.7,,
,Top country of birth,England,,
,"Top country of birth, persons",342,,
,"Top country of birth, %",6.6,,
,2nd top country of birth,New Zealand,,
,"2nd top country of birth, persons",196,,
,"2nd top country of birth, %",3.8,,
,3rd top country of birth,India,,
,"3rd top country of birth, persons",112,,
,"3rd top country of birth, %",2.1,,
,4th top country of birth,Ireland,,
,"4th top country of birth, persons",110,,
,"4th top country of birth, %",2.1,,
,5th top country of birth,United States of America,,
,"5th top country of birth, persons",110,,
,"5th top country of birth, %",2.1,,
,Top language spoken,Greek,,
,"Top language spoken, persons",79,,
,"Top language spoken, %",3.0,,
,2nd top language spoken,Hindi,,
,"2nd top language spoken, persons",32,,
,"2nd top language spoken, %",1.2,,
,3rd top language spoken,German,,
,"3rd top language spoken, persons",31,,
,"3rd top language spoken, %",1.2,,
,4th top language spoken,French,,
,"4th top language spoken, persons",28,,
,"4th top language spoken, %",1.1,,
,5th top language spoken,Spanish,,
,"5th top language spoken, persons",28,,
,"5th top language spoken, %",1.1,,
Hospital,"Public hospital separations, 2012-13",669,,
,Nearest Public Hospital,The Alfred,,
,Travel time to nearest public hospital,5,,
,Distance to nearest public hospital,3,,
,"Obstetric type separations, 2012-13",24,,
,Nearest public hospital with maternity services,Royal Women's Hospital,,
,Time to nearest public hospital with maternity services,11,,
,Distance to nearest public hospital with maternity services,8,,
,"Presentations to emergency departments, 2012-13",719,,
,Nearest public hospital with emergency department,The Alfred,,
,Travel time to nearest public hospital with emergency department,5,,
,Distance to nearest public hospital with emergency department,3,,
,Presentations to emergency departments due to injury,100,,
,"Presentations to emergency departments due to injury, %",13.9,,
,Category 4 & 5 emergency department presentations,415,,
,"Category 4 & 5 emergency department presentations, %",57.8,,
