,"2007 ERP age 10-14, %",4.6,,
,"2007 ERP age 15-19, persons",688,,
,"2007 ERP age 15-19, %",5.2,,
,"2007 ERP age 20-24, persons","1,187",,
,"2007 ERP age 20-24, %",9.0,,
,"2007 ERP age 25-44, persons","4,690",,
,"2007 ERP age 25-44, %",35.5,,
,"2007 ERP age 45-64, persons","3,008",,
,"2007 ERP age 45-64, %",22.8,,
,"2007 ERP age 65-69, persons",411,,
,"2007 ERP age 65-69, %",3.1,,
,"2007 ERP age 70-74, persons",346,,
,"2007 ERP age 70-74, %",2.6,,
,"2007 ERP age 75-79, persons",294,,
,"2007 ERP age 75-79, %",2.2,,
,"2007 ERP age 80-84, persons",248,,
,"2007 ERP age 80-84, %",1.9,,
,"2007 ERP age 85+, persons",200,,
,"2007 ERP age 85+, %",1.5,,
,"2007 ERP, total","13,196",,
2007-2012 population change,"% change, 2007-2012, age 0-4",33.9,,
,"% change, 2007-2012, age 5-9",20.8,,
,"% change, 2007-2012, age 10-14",1.3,,
,"% change, 2007-2012, age 15-19",-16.5,,
,"% change, 2007-2012, age 20-24",3.5,,
,"% change, 2007-2012, age 25-44",13.7,,
,"% change, 2007-2012, age 45-64",7.7,,
,"% change, 2007-2012, age 65-69",6.0,,
,"% change, 2007-2012, age 70-74",-0.6,,
,"% change, 2007-2012, age 75-79",-6.7,,
,"% change, 2007-2012, age 80-84",-5.5,,
,"% change, 2007-2012, age 85+",-4.5,,
,"% change, 2007-2012, total",9.2,,
Services,Public Hospitals,0,,
,Private Hospitals,1,,
,Community Health Centres,1,,
,Bush Nursing Centres,0,,
,Allied Health,10,,
,Alternative Health,5,,
,Child Protection and Family,0,,
,Dental,0,,
,Disability,0,,
,General Practice,2,,
,Homelessness,1,,
,Mental Health,2,,
,Pharmacies,4,,
,Aged Care (High Care),0,,
,Aged Care (Low Care),31,,
,Aged Care (SRS),0,,
,Kinder and/or Childcare,4,,
,Primary Schools,3,,
,Secondary Schools,0,,
,P12 Schools,0,,
,Other Schools,1,,
,Centrelink Offices,0,,
,Medicare Offices,0,,
,Medicare Access Points,0,,
Socio-demographic,Number of Households,"5,546",,
,Average persons per household,2.4,,
,Occupied private dwellings,"5,634",,
,"Occupied private dwellings, %",92.3,,
,Population in non-private dwellings,72,,
,Public Housing Dwellings,"1,467",,
,% dwellings which are public housing,24.0,,
,Dwellings with no motor vehicle,825,,
,"Dwellings with no motor vehicle, %",13.5,,
,Dwellings with no internet,"1,062",,
,"Dwellings with no internet, %",17.4,,
,Equivalent household income <$600/week,"1,604",,
,"Equivalent household income <$600/week, %",33.8,,
,"Personal income <$400/week, persons","3,586",,
,"Personal income <$400/week, %",35.2,,
,Number of families,"3,447",,
,Female-headed lone parent families,465,,
,"Female-headed lone parent families, %",13.5,,
,Male-headed lone parent families,88,,
,"Male-headed lone parent families, %",2.6,,
,% residing near PT,100.0,,
,IRSD (min),400,,
,IRSD (max),1105,,
,IRSD (avg),990,,
,Primary school students,853,,
,Secondary school students,624,,
,TAFE students,364,,
,University students,827,,
,"Holds degree or higher, persons","3,686",,
,"Holds degree or higher, %",62.6,,
,"Did not complete year 12, persons","3,231",,
,"Did not complete year 12, %",31.9,,
,"Unemployed, persons",440,,
,"Unemployed, %",6.0,,
,"Volunteers, persons","1,917",,
,"Volunteers, %",18.9,,
,"Requires assistance with core activities, persons",560,,
,"Requires assistance with core activities, %",4.5,,
,"Aged 75+ and lives alone, persons",192,,
,"Aged 75+ and lives alone, %",1.4,,
,"Unpaid carer to person with disability, persons","1,121",,
,"Unpaid carer to person with disability, %",11.1,,
,"Unpaid carer of children, persons","2,735",,
,"Unpaid carer of children, %",26.9,,
,Top industry,"Professional, Scientific and Technical Services",,
,"Top industry, %",13.1,,
,2nd top industry - persons,Health Care and Social Assistance,,
,"2nd top industry, %",12.0,,
,3rd top industry - persons,Education and Training,,
,"3rd top industry, %",10.4,,
,Top occupation,Professionals,,
,"Top occupation, %",33.1,,
,2nd top occupation - persons,Clerical and Administrative Workers,,
,"2nd top occupation, %",16.5,,
,3rd top occupation - persons,Managers,,
,"3rd top occupation, %",15.1,,
Diversity,"Aboriginal or Torres Strait Islander, persons",53,,
,"Aboriginal or Torres Strait Islander, %",0.42,,
,"Born overseas, persons","3,792",,
,"Born overseas, %",30.2,,
,"Born in non-English speaking country, persons","3,003",,
,"Born in non-English speaking country, %",23.9,,
,"Speaks LOTE at home, persons","3,730",,
,"Speaks LOTE at home, %",29.6,,
,"Poor English proficiency, persons",795,,
,"Poor English proficiency, %",6.3,,
,Top country of birth,Italy,,
,"Top country of birth, persons",826,,
,"Top country of birth, %",3.3,,
,2nd top country of birth,Vietnam,,
,"2nd top country of birth, persons",722,,
,"2nd top country of birth, %",2.9,,
,3rd top country of birth,England,,
,"3rd top country of birth, persons",584,,
,"3rd top country of birth, %",2.3,,
,4th top country of birth,New Zealand,,
,"4th top country of birth, persons",522,,
,"4th top country of birth, %",2.1,,
,5th top country of birth,China,,
,"5th top country of birth, persons",500,,
,"5th top country of birth, %",2.0,,
,Top language spoken,Italian,,
,"Top language spoken, persons",657,,
,"Top language spoken, %",5.2,,
,2nd top language spoken,Vietnamese,,
,"2nd top language spoken, persons",440,,
,"2nd top language spoken, %",3.5,,
,3rd top language spoken,Greek,,
,"3rd top language spoken, persons",366,,
,"3rd top language spoken, %",2.9,,
,4th top language spoken,Cantonese,,
,"4th top language spoken, persons",271,,
,"4th top language spoken, %",2.2,,
,5th top language spoken,Arabic,,
,"5th top language spoken, persons",215,,
,"5th top language spoken, %",1.7,,
Hospital,"Public hospital separations, 2012-13","2,702",,
,Nearest Public Hospital,Western Hospital (Footscray),,
,Travel time to nearest public hospital,5,,
,Distance to nearest public hospital,4,,
,"Obstetric type separations, 2012-13",216,,
,Nearest public hospital with maternity services,Royal Women's Hospital,,
,Time to nearest public hospital with maternity services,6,,
,Distance to nearest public hospital with maternity services,5,,
,"Presentations to emergency departments, 2012-13","3,313",,
,Nearest public hospital with emergency department,Royal Melbourne Hospital,,
,Travel time to nearest public hospital with emergency department,7,,
,Distance to nearest public hospital with emergency department,5,,
,Presentations to emergency departments due to injury,679,,
,"Presentations to emergency departments due to injury, %",20.5,,
,Category 4 & 5 emergency department presentations,"1,865",,
,"Category 4 & 5 emergency department presentations, %",56.3,,
